Eastern Illinois def. Butler - S1W8, 56, 49
Cal Poly def. Montana State - S1W8, 42, 7
Stony Brook def. Central Connecticut - S1W8, 20, 13
Charleston Southern def. Gardner-Webb - S1W8, 35, 23
Chattanooga def. Florida A&M - S1W8, 42, 28
Lafayette def. Colgate - S1W8, 21, 7
Columbia def. Cornell - S1W8, 38, 23
Dartmouth def. Penn - S1W8, 65, 52
Dayton def. Northern Iowa - S1W8, 24, 22
Delaware State def. William & Mary - S1W8, 28, 21
VMI def. Delaware - S1W8, 63, 41
Drake def. South Dakota - S1W8, 13, 7
East Tennessee State def. Samford - S1W8, 21, 6
Eastern Washington def. Idaho State - S1W8, 30, 16
North Carolina A&T def. Elon - S1W8, 10, 0
Sacred Heart def. Fordham - S1W8, 26, 14
Furman def. Wofford - S1W8, 13, 0
Sam Houston State def. Grambling State - S1W8, 14, 0
Hampton def. Monmouth - S1W8, 42, 21
Yale def. Harvard - S1W8, 38, 7
Houston Baptist def. Stephen F. Austin - S1W8, 16, 7
Howard def. Wagner - S1W8, 30, 21
Northern Colorado def. Idaho - S1W8, 31, 26
Indiana State def. Illinois State - S1W8, 38, 28
Incarnate Word def. Nicholls State - S1W8, 42, 23
Missouri State def. Jackson State - S1W8, 25, 13
James Madison def. Richmond - S1W8, 10, 0
Savannah State def. Kennesaw State - S1W8, 24, 10
Lamar def. McNeese State - S1W8, 47, 40
Lehigh def. Marist - S1W8, 17, 14
Presbyterian def. Mercer - S1W8, 28, 26
Mississippi Valley State def. Tennessee Tech - S1W8, 38, 14
Montana def. Portland State - S1W8, 38, 24
Norfolk State def. Morehead State - S1W8, 21, 14
Rhode Island def. New Hampshire - S1W8, 28, 14
Tennessee State def. North Carolina Central - S1W8, 10, 7
North Dakota State def. South Dakota State - S1W8, 55, 28
North Dakota def. Western Illinois - S1W8, 45, 20
UC Davis def. Northern Arizona - S1W8, 35, 21
Youngstown State def. Robert Morris - S1W8, 21, 6
Sacramento State def. Southern Utah - S1W8, 37, 15
San Diego def. Weber State - S1W8, 50, 29
Villanova def. Towson - S1W8, 24, 7
Sam Houston State def. Abilene Christian - S1W9, 33, 3
Jacksonville State def. Alabama State - S1W9, 36, 0
New Hampshire def. Albany - S1W9, 29, 13
Southeast Missouri def. Austin Peay - S1W9, 23, 7
Bethune-Cookman def. Kennesaw State - S1W9, 31, 21
Brown def. The Citadel - S1W9, 35, 28
Holy Cross def. Bryant - S1W9, 30, 0
Lafayette def. Bucknell - S1W9, 14, 3
Butler def. South Dakota State - S1W9, 38, 31
Cal Poly def. Northern Arizona - S1W9, 35, 31
Campbell def. Samford - S1W9, 26, 0
Jackson State def. Central Arkansas - S1W9, 43, 29
Sacred Heart def. Central Connecticut - S1W9, 77, 14
Furman def. Charleston Southern - S1W9, 27, 11
Chattanooga def. Houston Baptist - S1W9, 38, 21
Colgate def. Marist - S1W9, 36, 7
Princeton def. Cornell - S1W9, 35, 28
Dartmouth def. Yale - S1W9, 29, 27
Dayton def. Indiana State - S1W9, 37, 30
James Madison def. Delaware - S1W9, 36, 7
Delaware State def. VMI - S1W9, 31, 0
Northern Iowa def. Drake - S1W9, 42, 28
Duquesne def. Villanova - S1W9, 49, 36
East Tennessee State def. Elon - S1W9, 28, 7
Valparaiso def. Eastern Illinois - S1W9, 25, 24
Eastern Kentucky def. Murray State - S1W9, 57, 44
Eastern Washington def. Southern Utah - S1W9, 31, 14
Nicholls State def. Florida A&M - S1W9, 38, 18
Fordham def. Rhode Island - S1W9, 22, 20
North Carolina A&T def. Gardner-Webb - S1W9, 35, 26
Hampton def. McNeese State - S1W9, 46, 44
Howard def. William & Mary - S1W9, 16, 13
Idaho State def. Montana State - S1W9, 43, 23
Montana def. Idaho - S1W9, 16, 0
Southern Illinois def. Illinois State - S1W9, 28, 17
Incarnate Word def. Stephen F. Austin - S1W9, 35, 32
Lamar def. Southeastern Louisiana - S1W9, 42, 28
Robert Morris def. Lehigh - S1W9, 21, 14
Stony Brook def. Maine - S1W9, 38, 35
Savannah State def. Mercer - S1W9, 29, 21
Mississippi Valley State def. Missouri State - S1W9, 32, 28
Wagner def. Monmouth - S1W9, 63, 35
UT Martin def. Morehead State - S1W9, 28, 15
North Dakota State def. North Dakota - S1W9, 32, 25
Portland State def. Northern Colorado - S1W9, 45, 42
Presbyterian def. South Carolina State - S1W9, 22, 8
Sacramento State def. Weber State - S1W9, 50, 42
San Diego def. UC Davis - S1W9, 55, 34
South Dakota def. Western Illinois - S1W9, 14, 7
Tennessee State def. Tennessee Tech - S1W9, 26, 0
Youngstown State def. Towson - S1W9, 30, 0
East Tennessee State def. Alabama A&M - S1W10, 20, 17
Duquesne def. Alabama State - S1W10, 39, 38
Rhode Island def. Albany - S1W10, 7, 3
Murray State def. Alcorn State - S1W10, 20, 10
Mercer def. Bethune-Cookman - S1W10, 49, 48
Yale def. Brown - S1W10, 43, 42
New Hampshire def. Bryant - S1W10, 17, 7
Lehigh def. Bucknell - S1W10, 23, 6
Butler def. Indiana State - S1W10, 51, 14
Cal Poly def. Southern Utah - S1W10, 28, 14
Stetson def. Campbell - S1W10, 44, 17
Central Arkansas def. Missouri State - S1W10, 36, 2
Holy Cross def. Central Connecticut - S1W10, 20, 18
Charleston Southern def. Davidson - S1W10, 51, 44
Chattanooga def. Kennesaw State - S1W10, 23, 13
Princeton def. Columbia - S1W10, 21, 17
Dartmouth def. Cornell - S1W10, 37, 20
Dayton def. Southern Illinois - S1W10, 41, 21
Gardner-Webb def. Delaware - S1W10, 29, 0
Delaware State def. James Madison - S1W10, 14, 7
Drake def. North Dakota - S1W10, 39, 25
Western Illinois def. Eastern Illinois - S1W10, 49, 34
Eastern Kentucky def. UT Martin - S1W10, 53, 24
Montana def. Eastern Washington - S1W10, 63, 13
Elon def. Presbyterian - S1W10, 18, 11
Maine def. Fordham - S1W10, 24, 10
Furman def. Harvard - S1W10, 48, 34
Grambling State def. Nicholls State - S1W10, 36, 29
Hampton def. Wagner - S1W10, 38, 28
Portland State def. Houston Baptist - S1W10, 18, 8
Howard def. Monmouth - S1W10, 35, 28
San Diego def. Idaho State - S1W10, 60, 34
Illinois State def. Valparaiso - S1W10, 48, 41
Incarnate Word def. Lamar - S1W10, 44, 41
